Palle ID,Palle Name,Upabasti / Gramam ID,Created On,Modified On
80501010049,Vishnu Colony,80501010049,08-Jan-21,08-Jan-21
80501010050,Prakash Nagar,80501010050,08-Jan-21,08-Jan-21
80502011051,1st BUS STOP,80502011051,08-Jan-21,08-Jan-21
80502011052,VINAYAKA DEVALAYAM,80502011052,08-Jan-21,08-Jan-21
80502012053,7th PHASE,80502012053,08-Jan-21,08-Jan-21
80502012054,INDU DUPLEX,80502012054,08-Jan-21,08-Jan-21
80502012055,INDO APARTMENT,80502012055,08-Jan-21,08-Jan-21
80502013056,RAIN TREE PARK,80502013056,08-Jan-21,08-Jan-21
80502013057,5th PHASE,80502013057,08-Jan-21,08-Jan-21
80502014058,VASANTHANAGAR,80502014058,08-Jan-21,08-Jan-21
80502014059,SARDAR PATEL,80502014059,08-Jan-21,08-Jan-21
80502014060,BAGATHSINGH NAGAR,80502014060,08-Jan-21,08-Jan-21
80502015061,GOKUL PLOTS,80502015061,08-Jan-21,08-Jan-21
80502015062,9th PHASE,80502015062,08-Jan-21,08-Jan-21
80502016063,6th PART 1,80502016063,08-Jan-21,08-Jan-21
80502016064,6th PART 2,80502016064,08-Jan-21,08-Jan-21
80502016065,JNTU,80502016065,08-Jan-21,08-Jan-21
80502017066,VENKATESWARA,80502017066,08-Jan-21,08-Jan-21
80502017067,BHUVANAVIJAYAM,80502017067,08-Jan-21,08-Jan-21
80502018068,TRINITY,80502018068,08-Jan-21,08-Jan-21
80502018069,MANJEERA,80502018069,08-Jan-21,08-Jan-21
80502018070,AYODYA RAMALAYAM,80502018070,08-Jan-21,08-Jan-21
80502019071,ROAD NO.1&2,80502019071,08-Jan-21,08-Jan-21
80502019072,ROAD NO.3&4,80502019072,08-Jan-21,08-Jan-21
80503020073,KAVURI HILLS,80503020073,08-Jan-21,08-Jan-21
80503020074,KAKATIYA HILLS,80503020074,08-Jan-21,08-Jan-21
80503020075,DOCTORS COLONY,80503020075,08-Jan-21,08-Jan-21
80503020076,G B PET,80503020076,08-Jan-21,08-Jan-21
80503021077,AYYAPPA SOCIETY,80503021077,08-Jan-21,08-Jan-21
80503021078,MEGHA HILLS,80503021078,08-Jan-21,08-Jan-21
80503021079,SAI NAGAR,80503021079,08-Jan-21,08-Jan-21
80503022080,HARIJAN BASTI,80503022080,08-Jan-21,08-Jan-21
80503022081,KUMMARI BASTI,80503022081,08-Jan-21,08-Jan-21
80503022082,VITTAL RAO NAGAR,80503022082,08-Jan-21,08-Jan-21
80503022083,AURONODAYA COLONY,80503022083,08-Jan-21,08-Jan-21
80503023084,CHANDA NAGAR THANDA,80503023084,08-Jan-21,08-Jan-21
80503024085,KHANAMET,80503024085,08-Jan-21,08-Jan-21
80503024086,DATTATREYA NAGAR,80503024086,08-Jan-21,08-Jan-21
80503025087,ANJANEYANAGAR,80503025087,08-Jan-21,08-Jan-21
80503026088,SIDDIVINAYAKA NAGAR ,80503026088,08-Jan-21,08-Jan-21
80503027089,SRIRAM NAGAR 1,80503027089,08-Jan-21,08-Jan-21
80503027090,SRIRAM NAGAR 2,80503027090,08-Jan-21,08-Jan-21
80503028091,SHIVALAXMI TEMPLE,80503028091,08-Jan-21,08-Jan-21
80503028092,SAI PRITHVI ENCLAVE,80503028092,08-Jan-21,08-Jan-21
80503028093,YELLAIAH NAGAR,80503028093,08-Jan-21,08-Jan-21
80503029094,WHITE FIELD,80503029094,08-Jan-21,08-Jan-21
80503029095,PRASHANTH NAGAR,80503029095,08-Jan-21,08-Jan-21
80503029096,KOTHAGUDA,80503029096,08-Jan-21,08-Jan-21
80503030097,KONDAPUR,80503030097,08-Jan-21,08-Jan-21
80503030098,POLICE QUARTERS,80503030098,08-Jan-21,08-Jan-21
80503030099,SAFARI NAGAR,80503030099,08-Jan-21,08-Jan-21
80503030100,ANAND NAGAR,80503030100,08-Jan-21,08-Jan-21
80503030101,SHILPA PARK,80503030101,08-Jan-21,08-Jan-21
80503030102,RAGHAVENDRA COLONY,80503030102,08-Jan-21,08-Jan-21
80503030103,ADITYA NAGAR,80503030103,08-Jan-21,08-Jan-21
80504031104,MADURANAGAR,80504031104,08-Jan-21,08-Jan-21
80504031105,VENGAL RAO NAGAR,80504031105,08-Jan-21,08-Jan-21
80504031106,JAVAHAR NAGAR,80504031106,08-Jan-21,08-Jan-21
